V1,V2,V3,V4,V5,target
120.36278,205.5,119.39535,416.5814,20.676317,1
124.739586,202.8,115.333336,354.33334,16.707151,1
134.69197,199.28572,116.85714,477.85715,22.496712,1
127.94631,178.36842,92.36842,278.4737,14.977453,1
135.43155,197.0,112.690475,532.9524,17.604193,1
118.34796,226.15,138.85,608.9,29.072798,1
135.43628,184.5,95.14286,309.1905,13.055264,1
121.16964,226.0,146.21428,595.5714,22.808542,1
131.12717,232.78432,144.58824,563.84314,11.948563,1
134.4981,210.21213,116.90909,594.8485,27.937685,1
131.16478,206.68182,114.72727,483.04544,22.903543,1
136.09596,201.4,111.4,444.6,16.553621,1
122.631905,230.56097,142.19513,473.7073,24.521889,1
113.65618,213.10715,129.78572,480.85715,29.237766,1
133.8942,191.62163,115.51351,419.51352,17.48914,1
131.1115,213.66667,125.44444,537.8889,19.434818,1
127.83569,201.35849,116.50944,372.13208,23.929111,1
121.61126,199.74467,121.06383,338.12766,15.019107,1
106.2421,221.75,140.0,381.16666,18.903263,1
147.77113,220.11111,123.72222,479.16666,23.337036,1
135.82394,192.23288,115.09589,332.42465,12.805692,1
134.95897,226.67346,141.46939,435.9592,17.606108,1
128.5314,188.984,93.312,296.616,16.932495,1
143.52873,170.36363,78.454544,400.0,10.832306,1
141.10938,164.625,68.0,242.5,6.753471,1
140.02603,189.89655,89.24138,561.31036,23.83759,1
132.58772,222.39215,133.05882,579.2157,19.832651,1
121.7579,174.0,92.666664,217.77777,14.055446,1
135.67717,199.75,105.208336,453.33334,16.185074,1
119.457405,180.74194,93.145164,227.7742,12.293254,1
124.59194,179.41667,89.083336,208.08333,20.352602,1
126.52797,178.77777,85.111115,359.77777,11.080513,1
135.02449,190.87755,104.55102,270.65308,14.329932,1
142.5658,183.41667,89.763885,240.26389,11.29866,1
124.61101,180.82608,93.434784,242.6087,9.803702,1
130.84966,175.33333,83.40278,342.27777,21.171679,1
133.85417,166.40741,78.74074,254.37038,14.175076,1
119.71456,231.83333,153.51515,591.01514,25.385986,1
123.27854,218.26,129.68,600.22,29.894943,1
117.63929,215.5641,131.20512,504.07693,22.19423,1
138.51273,202.04477,118.537315,445.92538,20.084938,1
118.57832,198.56757,117.067566,429.13513,33.42097,1
134.06404,183.46364,95.59091,236.68182,18.00373,1
117.65066,236.48611,155.45833,541.5417,18.511822,1
135.28426,234.65117,149.8372,587.0,22.066889,1
123.30243,207.75438,120.666664,436.0877,18.284456,1
128.0961,199.2,118.4,403.33334,21.405891,1
119.63555,200.65178,118.82143,312.51785,21.871778,1
119.50652,224.24138,131.58621,592.2414,27.410822,1
132.27956,213.50877,126.210526,503.6316,26.666931,1
123.75228,222.01819,134.67273,510.03638,21.587217,1
123.9973,221.67143,156.24286,493.41428,24.439196,1
130.0105,184.87038,103.166664,319.77777,21.732252,1
122.79784,202.34285,132.48572,322.2857,15.835378,1
132.40477,201.30556,125.40741,373.80554,23.220295,1
127.80718,202.71196,120.722824,415.80435,27.25897,1
122.15942,195.15,128.825,323.975,28.948097,1
126.43218,206.42291,128.59912,403.06168,23.36859,1
128.36876,211.35449,140.65079,411.30157,24.842134,1
126.73972,203.3913,129.90434,390.81738,20.635784,1
128.58113,200.87097,119.32258,436.55646,24.033567,1
136.35944,210.30582,118.42202,462.56882,21.609575,1
128.97305,202.625,118.75926,427.49536,21.303534,1
131.59982,209.56018,117.236115,566.0093,36.442123,1
122.66543,218.26772,136.58661,498.63385,26.649675,1
132.45549,198.86568,113.80597,323.0597,18.657719,1
129.20801,188.68867,110.65094,327.71698,19.005396,1
124.59047,197.32521,120.64227,398.85367,18.675636,1
129.36014,207.2619,123.94558,464.7245,26.64041,1
141.57423,199.24445,127.333336,364.17776,15.219286,1
127.21881,190.31496,110.10236,383.3937,19.666454,1
118.12258,217.89412,134.23529,443.11176,18.376032,1
138.61432,213.60318,126.111115,421.0,18.304926,1
134.3015,210.6,125.67143,436.1905,21.0341,1
142.8677,228.67857,104.39286,674.9643,32.399532,-1
143.49728,211.6087,95.73913,612.34784,29.530094,-1
135.725,238.91667,107.583336,741.2708,20.84107,-1
112.82456,236.92,108.04,705.84,22.67065,-1
111.20755,233.1,105.575,729.775,23.673813,-1
124.95516,226.69565,100.565216,686.43475,27.8711,-1
115.84987,235.89362,107.106384,757.21277,19.601578,-1
124.97024,218.09525,97.42857,595.8571,40.781036,-1
130.71178,169.52673,69.40107,187.6845,8.875741,-1
113.46512,244.25926,107.55556,735.5185,34.575417,-1
130.11836,230.23077,104.19231,689.3461,16.023281,-1
120.41391,216.3158,104.89474,617.3158,29.403866,-1
127.22321,219.42857,100.57143,588.8571,17.274494,-1
128.94531,196.0,93.0,437.0,27.335875,-1
133.35938,166.0,84.0,247.0,14.101751,-1
127.395836,200.33333,99.166664,486.16666,26.023495,-1
137.92259,231.33333,99.36667,641.86664,40.490932,-1
105.1,206.8,97.0,564.2,21.30352,-1
132.38655,203.73334,95.8,531.86664,53.596848,-1
107.57692,213.3077,90.76923,514.1539,45.348225,-1
127.76576,187.0,82.35714,310.14285,15.443941,-1
124.01848,170.92728,69.07272,217.83636,13.337253,-1
132.2993,203.40741,90.0,495.4074,36.94377,-1
153.54167,204.0,87.0,452.0,1.699673,-1
125.73937,169.20305,69.416245,206.41116,7.412496,-1
140.85715,175.75,79.916664,293.0,6.015605,-1
132.59201,164.68292,68.68293,177.89757,8.123652,-1
138.24042,198.25,87.05556,445.3889,27.26414,-1
136.25061,191.68628,87.17647,441.7647,20.390781,-1
130.01137,199.18182,95.27273,520.63635,12.186566,-1
120.87208,226.3871,101.70968,746.80646,16.682722,-1
144.33974,174.4,77.65,302.1,10.067274,-1
106.34375,231.8,111.8,726.4,28.667229,-1
141.3507,224.44444,107.111115,668.6667,30.063925,-1
128.17717,206.5,94.4375,456.875,23.224426,-1
127.47932,206.81818,93.59091,525.4318,18.794823,-1
130.76656,217.0,97.4,648.4,24.676863,-1
123.85449,213.27272,100.568184,645.2727,34.318356,-1
122.673615,183.33333,80.666664,390.77777,20.083775,-1
119.14881,200.0,93.52381,488.61905,29.794535,-1
111.150734,193.05882,88.35294,493.82352,33.466194,-1
109.638885,206.55556,97.666664,463.55554,20.25943,-1
127.91856,218.87234,98.085106,679.57446,19.805391,-1
135.18402,177.0,78.5,406.44116,16.311867,-1
138.23383,214.41861,97.44186,730.81396,26.142742,-1
136.75957,195.69565,89.521736,511.26086,15.833252,-1
93.6875,220.85715,99.71429,677.0,8.729495,-1
106.35581,218.62962,99.48148,719.5926,19.924206,-1
139.23404,211.0,99.77778,588.6667,18.667328,-1
183.28125,204.0,96.5,475.5,1.0,-1
113.980835,188.72223,82.083336,456.0,16.625784,-1
98.41964,210.28572,97.57143,628.0,17.779833,-1
149.3125,206.66667,94.833336,607.6667,27.373446,-1
125.56912,222.70732,101.439026,775.13416,21.64281,-1
111.44469,206.58621,94.344826,631.7931,25.20088,-1
109.208336,220.0,95.083336,757.4167,19.728716,-1
139.49774,201.21428,88.07143,568.2143,22.322857,-1
130.85794,201.77777,88.066666,471.84445,16.218508,-1
141.57639,213.0,90.77778,721.7778,40.472214,-1
106.289474,197.5,86.5,541.5,27.578548,-1
133.61221,178.5,73.81579,347.28946,18.836536,-1
140.39204,204.0,96.0,583.0,21.85943,-1
134.625,216.92857,98.71429,714.7143,12.613566,-1
142.68182,210.27777,93.94444,628.3333,25.658487,-1
139.65909,211.54546,91.36363,679.8182,13.614528,-1
140.75,213.6842,95.210526,756.3684,10.72755,-1
138.65,203.2,88.0,641.2,39.85273,-1
143.24107,186.71428,82.85714,467.57144,27.102224,-1
130.5917,192.78,85.4,540.5,24.079445,-1
117.601746,220.95454,103.13637,673.1818,10.249773,-1
112.66109,212.4,94.6,773.6,24.338903,-1
122.06269,213.28572,95.14286,557.0,22.679068,-1
124.751854,229.64706,109.23529,806.17645,6.494608,-1
122.188156,200.33333,90.0,631.0,22.214998,-1
136.54305,200.57895,85.10526,450.73685,16.121424,-1
123.29235,205.69565,91.17391,481.08694,17.804016,-1
100.36076,230.2,105.8,821.6,17.059015,-1
113.27631,195.0,84.541664,467.41666,27.275854,-1
127.67613,221.45454,103.09091,768.4545,28.989882,-1
92.7625,206.4,98.0,717.2,26.229753,-1
119.05851,227.72882,106.50848,744.37286,19.15983,-1
